date,amount,order_id,customer_name,status
2026-10-13,1492.00,REF863587,Priya Patel,COMPLETED
2026-10-27,11441.00,REF681542,Priya Patel,COMPLETED
2026-10-15,4110.00,REF717889,Aditya Sharma,COMPLETED
2026-10-06,5168.00,REF559469,Vikram Singh (Dup),COMPLETED
2026-10-12,3003.00,REF899550,Rahul Joshi (Dup),COMPLETED
2026-10-05,9551.00,REF550664,Aditya Sharma,COMPLETED
2026-10-30,4844.00,REF922157,Vikram Singh,COMPLETED
2026-10-17,14469.00,REF265080,Rahul Joshi,COMPLETED
2026-10-26,12931.00,REF267414,Sneha Reddy,COMPLETED
2026-10-09,9329.00,REF883300,Karan Verma,COMPLETED
2026-10-06,12982.00,REF632342,Vikram Singh,COMPLETED
2026-10-03,4885.00,REF321231,Sneha Reddy,COMPLETED
2026-10-12,6564.00,REF319684,Priya Patel,COMPLETED
2026-10-07,4572.00,REF299448,Pooja Nair,COMPLETED
2026-10-07,10408.00,REF852470,Ananya Iyer,COMPLETED
2026-10-29,6217.00,REF172132,Sneha Reddy,COMPLETED
2026-10-07,3035.00,REF411120,Aditya Sharma,COMPLETED
2026-10-09,8503.00,REF987204,Priya Patel,COMPLETED
2026-10-05,14886.00,REF377312,Priya Patel,COMPLETED
2026-10-21,12096.00,REF161733,Priya Patel,COMPLETED
2026-10-31,552.00,REF857168,Rahul Joshi,COMPLETED
2026-10-08,8243.00,REF922733,Karan Verma,COMPLETED
2026-10-06,905.00,REF872343,Karan Verma,COMPLETED
2026-10-12,5549.00,REF934794,Sneha Reddy,COMPLETED
2026-10-09,9168.00,REF680099,Priya Patel,COMPLETED
2026-10-22,7036.00,REF781446,Pooja Nair,COMPLETED
